t,x(t)
412,0.7299125656463004
413,0.75032977393038
414,0.7707121364337975
415,0.7910575364024628
416,0.8113638570822803
417,0.8316289817191602
418,0.8518507935590104
419,0.872027175847741
420,0.8921560118312565
421,0.9122351840176584
422,0.9322625698682407
423,0.9522360584377525
424,0.9721535418064914
425,0.9920129120547604
426,1.011812061262861
427,1.0315488815110956
428,1.0512212648797625
429,1.0708271034491645
430,1.0903642892996028
431,1.1098307128558877
432,1.1292242806514223
433,1.1485429130685418
434,1.1677845305689074
435,1.186947053614182
436,1.206028402666023
437,1.2250264981860934
438,1.2439392606360542
439,1.2627646104775665
440,1.281500467639038
441,1.3001447645726283
442,1.3186954661902135
443,1.3371505409716933
444,1.3555079573969697
445,1.3737656839459393
446,1.3919216890985042
447,1.4099739413345644
448,1.4279204091340216
449,1.4457590609767725
450,1.4634878695793019
451,1.48110485178434
452,1.4986080436971065
453,1.515995481431393
454,1.5332652011009948
455,1.5504152388197063
456,1.5674436307013229
457,1.5843484128596361
458,1.6011276214084411
459,1.6177792927207444
460,1.634301497126603
461,1.650692354436059
462,1.66694998782296
463,1.6830725204611539
464,1.6990580755244866
465,1.7149047761868068
466,1.7306107456219584
467,1.7461741070037897
468,1.761592983498924
469,1.7768655114638443
470,1.791989898724154
471,1.8069643745715922
472,1.8217871682978966
473,1.8364565091948057
474,1.8509706265540553
475,1.865327749667384
476,1.8795261078265293
477,1.8935639303232306
478,1.9074394484197903
479,1.921150951708321
480,1.9346967913670723
481,1.9480753212697473
482,1.9612848952900452
483,1.9743238673016692
484,1.987190591178321
485,1.9998834207937035
486,2.012400710021516
487,2.0247408126997755
488,2.0369021082399548
489,2.048883071555649
490,2.060682198803304
491,2.072297986139362
492,2.083728929720269
493,2.0949735257024695
494,2.1060302702424094
495,2.1168976594965305
496,2.127574189621279
497,2.1380583616874134
498,2.1483487607758893
499,2.1584440401899765
500,2.168342855085418
501,2.178043860617955
502,2.1875457119433293
503,2.196847064217281
504,2.2059465725955523
505,2.2148428922338845
506,2.223534678301154
507,2.232020627030346
508,2.240299548844416
509,2.248370273414224
510,2.2562316304106336
511,2.263882449504505
512,2.2713215603666996
513,2.27854779266808
514,2.285559976079508
515,2.2923569402718456
516,2.2989375366682707
517,2.3053007380703208
518,2.3114455454919933
519,2.3173709588295615
520,2.323075977979296
521,2.3285596028374695
522,2.3338208333003547
523,2.338858669263129
524,2.343672137827198
525,2.3482603739679173
526,2.352622539243222
527,2.3567577952110446
528,2.360665303429319
529,2.3643442254559783
530,2.3677937228489565
531,2.371012958075325
532,2.3740011546980404
533,2.3767576344747567
534,2.3792817279969936
535,2.3815727658562724
536,2.3836300786441127
537,2.385452996952035
538,2.3870408513715606
539,2.3883929800181565
540,2.3895088190356946
541,2.3903878730752384
542,2.3910296481823954
543,2.391433650402773
544,2.3915993857819786
545,2.3915263603656203
546,2.3912140801993047
547,2.390662077355358
548,2.3898700040446057
549,2.388837547061909
550,2.3875643932046584
551,2.3860502292702455
552,2.3842947420560603
553,2.382297618359495
554,2.3800585455733083
555,2.3775772716383297
556,2.3748536562296527
557,2.3718875710680036
558,2.368678887874107
559,2.3652274783686895
560,2.3615332142724763
561,2.3575959673061937
562,2.3534156154462167
563,2.348992136254509
564,2.344325587109444
565,2.339416027631679
566,2.334263517441871
567,2.3288681161606757
568,2.3232298834087506
569,2.317348878806751
570,2.311225184725233
571,2.30485900827731
572,2.2982505990884254
573,2.291400206819389
574,2.2843080811310124
575,2.276974471684105
576,2.269399628139478
577,2.2615838003661186
578,2.253527290633642
579,2.24523052247144
580,2.2366939365117187
581,2.2279179733866825
582,2.2189030737285393
583,2.209649678169494
584,2.200158227341753
585,2.190429165243768
586,2.180463023888184
587,2.170260429613627
588,2.1598220133891295
589,2.1491484061837203
590,2.1382402389664295
591,2.1270981427062896
592,2.11572274837233
593,2.1041147007156553
594,2.0922747606134697
595,2.080203747133194
596,2.0679024797764143
597,2.055371778044719
598,2.0426124614396945
599,2.029625349462932
600,2.016411261618703
601,2.0029710528123856
602,1.9893057013157491
603,1.9754162122342984
604,1.9613035906735352
605,1.9469688417389621
606,1.9324129705360806
607,1.917636982170396
608,1.9026418828551004
609,1.8874287459659727
610,1.871998749225725
611,1.8563530793477994
612,1.8404929230456337
613,1.8244194670326674
614,1.8081338980223387
615,1.7916374027280895
616,1.7749311748254095
617,1.7580165049806533
618,1.740894754891889
619,1.7235672878774517
620,1.706035467255682
621,1.6883006563449148
622,1.6703642184634875
623,1.6522275169297351
624,1.6338919361352613
625,1.615358972837438
626,1.596630160985422
627,1.5777070345489177
628,1.558591127497634
629,1.5392839738012751
630,1.5197871074295466
631,1.500102062537331
632,1.4802304187155977
633,1.460173859364315
634,1.4399340822511701
635,1.4195127851438483
636,1.3989116658100398
637,1.37813242201743
638,1.3571767515337063
639,1.3360463549568866
640,1.3147430056202896
641,1.2932685537249147
642,1.271624853122128
643,1.249813757663296
644,1.2278371211997832
645,1.2056967975829598
646,1.1833946406641902
647,1.1609325153056786
648,1.1383123777014545
649,1.1155362289426065
650,1.0926060704153504
651,1.0695239035059032
652,1.0462917296004808
653,1.0229115500853045
654,0.9993853663475314
655,0.9757152066747237
656,0.9519031912432333
657,0.9279514596060199
658,0.9038621513160364
659,0.8796374059262382
660,0.8552793629895781
661,0.8307901620590158
662,0.8061719435164144
663,0.7814268960183768
664,0.7565572811511987
665,0.7315653664532424
666,0.7064534194628637
667,0.6812237077184202
668,0.6558784987582701
669,0.6304200601207687
670,0.6048506664220712
671,0.5791726625590444
672,0.5533884277139076
673,0.5275003406879482
674,0.5015107802824603
675,0.4754221252987317
676,0.4492367545380518
677,0.42295705250651416
678,0.39658546071636813
679,0.3701244530961908
680,0.3435765039226345
681,0.31694408747234926
682,0.2902296780219921
683,0.2634357498482131
684,0.2365647844965214
685,0.20961931756289146
686,0.1826019086571721
687,0.15551511747843605
688,0.12836150372575844
689,0.10114362709821197
690,0.0738640472948766
691,0.04652533287671477
692,0.019130101682737308
693,-0.008319011781773744
694,-0.03581937301346369
695,-0.06336834750897051
696,-0.09096330076493951
697,-0.11860159827801359
698,-0.1462805952337212
699,-0.17399760408934364
700,-0.20174992665904867
701,-0.22953486476472618
702,-0.25734972022826863
703,-0.285191794871561
704,-0.313058390516173
705,-0.3409467976196173
706,-0.36885427205896715
707,-0.39677806361526907
708,-0.4247154220695773
709,-0.45266359720294336
710,-0.48061983879642134
711,-0.5085813965965501
712,-0.5365455081633248
713,-0.5645093862051738
714,-0.5924702410609799
715,-0.6204252830696184
716,-0.6483717225699722
717,-0.6763067699009216
718,-0.7042276348025309
719,-0.7321315129891094
720,-0.7600155879876799
721,-0.7878770431770966
722,-0.8157130619362116
723,-0.8435208276438791
724,-0.8712975236789462
725,-0.8990403315836608
726,-0.9267464219256356
727,-0.9544129631150651
728,-0.9820371237471096
729,-1.0096160724169374
730,-1.0371469777197138
731,-1.064627008250607
732,-1.0920533299257547
733,-1.119423106632861
734,-1.1467335046327412
735,-1.1739816901921953
736,-1.2011648295780168
737,-1.2282800890570058
738,-1.2553246347689946
739,-1.282295632536448
740,-1.3091902566624756
741,-1.336005683777521
742,-1.3627390905120258
743,-1.3893876534964316
744,-1.4159485493611816
745,-1.4424189545367319
746,-1.4687960535120193
747,-1.4950770450850024
748,-1.5212591291077506
749,-1.5473395054323262
750,-1.5733153739107988
751,-1.5991839343952348
752,-1.624942383622442
753,-1.6505879381281972
754,-1.6761178395499405
755,-1.7015293299679801
756,-1.7268196514626262
757,-1.751986046114182
758,-1.7770257560029579
759,-1.801936023209262
760,-1.8267140896030944
761,-1.8513572116914072
762,-1.8758626912972918
763,-1.9002278374763286
764,-1.9244499592840998
765,-1.9485263657761815
766,-1.9724543660081562
767,-1.996231269035604
768,-2.0198543839141054
769,-2.0433210225190477
770,-2.0666285456298112
771,-2.0897743495409533
772,-2.112755831149412
773,-2.135570387352126
774,-2.158215415046028
775,-2.1806883111280584
776,-2.202986472495153
777,-2.2251072959454468
778,-2.247048202643884
779,-2.2688066857897233
780,-2.290380250760579
781,-2.3117664029340657
782,-2.332962647687793
783,-2.3539664903993764
784,-2.374775436446429
785,-2.395386991206566
786,-2.4157986643015312
787,-2.436008035192949
788,-2.4560127367715596
789,-2.475810403115976
790,-2.495398668304807
791,-2.5147751664166655
792,-2.5339375315301638
793,-2.5528833977239147
794,-2.5716103990240495
795,-2.590116200589848
796,-2.6083985662426152
797,-2.626455278394949
798,-2.6442841194594475
799,-2.6618828718487055
800,-2.679249317975321
801,-2.6963812402518923
802,-2.713276421091016
803,-2.729932647689172
804,-2.7463477943668715
805,-2.7625198086260156
806,-2.778446640090625
807,-2.794126238384718
808,-2.809556553132313
809,-2.8247355339574276
810,-2.8396611304840804
811,-2.854331292307542
812,-2.868744004027415
813,-2.882897373969872
814,-2.8967895369669394
815,-2.910418627850643
816,-2.923782781453007
817,-2.9368801326060554
818,-2.9497088161418126
819,-2.9622669668923036
820,-2.974552724366285
821,-2.9865643281741603
822,-2.9983001118061656
823,-3.009758412244779
824,-3.020937566472475
825,-3.0318359114717297
826,-3.0424517842250176
827,-3.052783521714815
828,-3.0628294608346867
829,-3.072587945514514
830,-3.082057484382433
831,-3.0912366518243712
832,-3.1001240222262565
833,-3.108718169974015
834,-3.117017669453573
835,-3.125021095050859
836,-3.132727021151798
837,-3.140134022142319
838,-3.1472406723975825
839,-3.1540455928954425
840,-3.160547588254626
