t,x(t)
476,-8.987587023738358
477,-8.843444329714721
478,-8.69576012479033
479,-8.546346952956728
480,-8.396964433402893
481,-8.24929322920083
482,-8.104913874001333
483,-7.965290500240227
484,-7.831759342390539
485,-7.705521704367484
486,-7.58764093299795
487,-7.479042707608839
488,-7.380518395918071
489,-7.29273082856375
490,-7.216221500095925
491,-7.151418790514222
492,-7.098646752738888
493,-7.058133619049786
494,-7.030021264415205
495,-7.0143712925435935
496,-7.0111732459249625
497,-7.02035053525674
498,-7.041764911093715
499,-7.0752194272759255
500,-7.120459876374082
501,-7.177176050304729
502,-7.2450001395441825
503,-7.323507061670234
504,-7.412206655281568
505,-7.510542315155901
506,-7.6178877555171765
507,-7.733537816365807
508,-7.856702558813941
509,-7.9865057778566735
510,-8.121978133030309
511,-8.262048856143046
512,-8.40554898146129
513,-8.551211040087544
514,-8.69766697559227
515,-8.843456454899629
516,-8.987036779440796
517,-9.126796272367299
518,-9.261071795753372
519,-9.388171364625979
520,-9.506402250017137
521,-9.614102339467623
522,-9.70967398723021
523,-9.791621032079474
524,-9.858588583273898
525,-9.90939985500725
526,-9.943091993139014
527,-9.9589478182289
528,-9.956521871733404
529,-9.935659372186365
530,-9.896506848551821
531,-9.839513736914482
532,-9.765424144090522
533,-9.675261394853502
534,-9.570301140480245
535,-9.45203950151283
536,-9.322155175845095
537,-9.18246787362153
538,-9.034894957866129
539,-8.88140818970932
540,-8.723992162507326
541,-8.564605910815859
542,-8.405148977579051
543,-8.247432489841117
544,-8.093155783492264
545,-7.943888664660678
546,-7.801059146967384
547,-7.665946264156976
548,-7.539677552025195
549,-7.42323006127444
550,-7.317434999853101
551,-7.222984554489773
552,-7.140440531413725
553,-7.070244096183117
554,-7.012726032284449
555,-6.9681170148024325
556,-6.936557974777304
557,-6.9181071598225055
558,-6.9127501473874515
559,-6.920408024194984
560,-6.9409384325592605
561,-6.974141403435399
562,-7.0197638396266555
563,-7.077497165768741
564,-7.146975856128901
565,-7.22777860942952
566,-7.31942302402356
567,-7.421357761908478
568,-7.53296020707746
569,-7.653532496114584
570,-7.782282687134998
571,-7.918336655123906
572,-8.060712079654355
573,-8.208323869984643
574,-8.35998380491745
575,-8.514380396155035
576,-8.67010390842575
577,-8.82563061432243
578,-8.979339073598114
579,-9.12952729132341
580,-9.274421237286571
581,-9.412203925521608
582,-9.541042636408585
583,-9.659122240292696
584,-9.764682947361134
585,-9.856061240142491
586,-9.931732684535245
587,-9.990354997506438
588,-10.030808655447725
589,-10.052235973887594
590,-10.054071207482485
591,-10.03606471448886
592,-9.998297485693168
593,-9.941185395097344
594,-9.865472716305211
595,-9.772214283627186
596,-9.662751840244015
597,-9.538674510970125
598,-9.401779101182766
599,-9.254023610968645
600,-9.097478767317453
601,-8.934279205226561
602,-8.766576327344458
603,-8.596494801514266
604,-8.426094349724877
605,-8.257337340544082
606,-8.09206264714719
607,-7.931965900705394
608,-7.778585660723604
609,-7.633295706626402
610,-7.497303009027361
611,-7.371649445923406
612,-7.257217368449317
613,-7.15473785376668
614,-7.064800935118912
615,-6.987867054744744
616,-6.924278801424452
617,-6.8742735223908245
618,-6.837993841973798
619,-6.815498623200273
620,-6.806772328305904
621,-6.811732842017902
622,-6.830237700319153
623,-6.862088618455075
624,-6.907034262380331
625,-6.964771895351601
626,-7.0349435173876
627,-7.117138069035172
628,-7.210886391837079
629,-7.315649765102625
630,-7.430823207624387
631,-7.555721204136467
632,-7.689566958963436
633,-7.8314955335759855
634,-7.9805316522989935
635,-8.13558787438062
636,-8.295466524856955
637,-8.458837288479563
638,-8.624251205437426
639,-8.790140804576199
640,-8.954813779352442
641,-9.116481467674934
642,-9.273264315341955
643,-9.423217853563957
644,-9.564361837748269
645,-9.69471522432869
646,-9.812336247717743
647,-9.915367002975433
648,-10.002081089119812
649,-10.070932804277108
650,-10.120605227580814
651,-10.150055128580057
652,-10.15854811039409
653,-10.14569296896429
654,-10.111459928835414
655,-10.056189733491903
656,-9.980590081331043
657,-9.885719764233496
658,-9.772961236093549
659,-9.643983047067906
660,-9.500694132220971
661,-9.34519235895103
662,-9.17970991394747
663,-9.00655812181673
664,-8.828074086762054
665,-8.646571130318986
666,-8.464294810095298
667,-8.283385565502124
668,-8.105848622921043
669,-7.93353136148939
670,-7.76810787369367
671,-7.611070332560835
672,-7.463726273091936
673,-7.3272009948053025
674,-7.202444054050184
675,-7.090238987150962
676,-6.991215407492667
677,-6.905861605634302
678,-6.834539930785755
679,-6.777499402166053
680,-6.734889315279782
681,-6.70677157788873
682,-6.693131711076086
683,-6.693888132698522
684,-6.708899634350011
685,-6.737971099626327
686,-6.780856333757075
687,-6.837261725963958
688,-6.906841884213317
689,-6.989201863918207
690,-7.083891641975298
691,-7.1903965339665765
692,-7.308135264443945
693,-7.436450965584286
694,-7.574595114113208
695,-7.721724834335931
696,-7.8768931891888805
697,-8.039029428620074
698,-8.206940675504843
699,-8.379303616661343
700,-8.554653120927172
701,-8.731385586441746
